No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
330th training :=  Win Percent :19.9 | Draw Percent :15.9 | Lost Percent :64.2
331th training :=  Win Percent :22 | Draw Percent :13.6 | Lost Percent :64.4
332th training :=  Win Percent :23.7 | Draw Percent :13.5 | Lost Percent :62.8
333th training :=  Win Percent :21.5 | Draw Percent :16 | Lost Percent :62.5
334th training :=  Win Percent :22.4 | Draw Percent :14.2 | Lost Percent :63.4
335th training :=  Win Percent :22.1 | Draw Percent :15.7 | Lost Percent :62.2
336th training :=  Win Percent :22.8 | Draw Percent :13.8 | Lost Percent :63.4
337th training :=  Win Percent :21.3 | Draw Percent :14.3 | Lost Percent :64.4
338th training :=  Win Percent :22.2 | Draw Percent :12.9 | Lost Percent :64.9
339th training :=  Win Percent :19.9 | Draw Percent :15 | Lost Percent :65.1
340th training :=  Win Percent :22 | Draw Percent :14.9 | Lost Percent :63.1
341th training :=  Win Percent :20.5 | Draw Percent :14.8 | Lost Percent :64.7
342th training :=  Win Percent :23.7 | Draw Percent :16.2 | Lost Percent :60.1
343th training :=  Win Percent :22.5 | Draw Percent :13.9 | Lost Percent :63.6
344th training :=  Win Percent :22.4 | Draw Percent :14.6 | Lost Percent :63
345th training :=  Win Percent :22.9 | Draw Percent :14.7 | Lost Percent :62.4
346th training :=  Win Percent :21.2 | Draw Percent :15.2 | Lost Percent :63.6
