No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
543th training :=  Win Percent :80 | Draw Percent :20
544th training :=  Win Percent :100 | Draw Percent :0
545th training :=  Win Percent :100 | Draw Percent :0
546th training :=  Win Percent :80 | Draw Percent :10
547th training :=  Win Percent :90 | Draw Percent :0
548th training :=  Win Percent :90 | Draw Percent :10
549th training :=  Win Percent :90 | Draw Percent :10
550th training :=  Win Percent :70 | Draw Percent :30
551th training :=  Win Percent :100 | Draw Percent :0
552th training :=  Win Percent :100 | Draw Percent :0
553th training :=  Win Percent :90 | Draw Percent :10
554th training :=  Win Percent :100 | Draw Percent :0
555th training :=  Win Percent :90 | Draw Percent :10
556th training :=  Win Percent :100 | Draw Percent :0
557th training :=  Win Percent :60 | Draw Percent :20
558th training :=  Win Percent :90 | Draw Percent :10
559th training :=  Win Percent :90 | Draw Percent :0
560th training :=  Win Percent :100 | Draw Percent :0
561th training :=  Win Percent :100 | Draw Percent :0
562th training :=  Win Percent :80 | Draw Percent :0
563th training :=  Win Percent :90 | Draw Percent :0
564th training :=  Win Percent :100 | Draw Percent :0
565th training :=  Win Percent :100 | Draw Percent :0
566th training :=  Win Percent :100 | Draw Percent :0
567th training :=  Win Percent :100 | Draw Percent :0
568th training :=  Win Percent :100 | Draw Percent :0
569th training :=  Win Percent :100 | Draw Percent :0
570th training :=  Win Percent :100 | Draw Percent :0
571th training :=  Win Percent :100 | Draw Percent :0
572th training :=  Win Percent :100 | Draw Percent :0
573th training :=  Win Percent :100 | Draw Percent :0
