No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
313th training :=  Win Percent :91.5 | Draw Percent :4.1 | Lost Percent :4.4
314th training :=  Win Percent :92.4 | Draw Percent :4 | Lost Percent :3.6
315th training :=  Win Percent :92.3 | Draw Percent :5.2 | Lost Percent :2.5
316th training :=  Win Percent :92.6 | Draw Percent :4 | Lost Percent :3.4
317th training :=  Win Percent :91.5 | Draw Percent :4.2 | Lost Percent :4.3
318th training :=  Win Percent :93.2 | Draw Percent :4.1 | Lost Percent :2.7
319th training :=  Win Percent :92.7 | Draw Percent :3.9 | Lost Percent :3.4
320th training :=  Win Percent :91.2 | Draw Percent :4.9 | Lost Percent :3.9
321th training :=  Win Percent :91.3 | Draw Percent :4.8 | Lost Percent :3.9
322th training :=  Win Percent :92.1 | Draw Percent :4.5 | Lost Percent :3.4
323th training :=  Win Percent :91.5 | Draw Percent :4.7 | Lost Percent :3.8
324th training :=  Win Percent :91.8 | Draw Percent :4.7 | Lost Percent :3.5
325th training :=  Win Percent :90.3 | Draw Percent :5.5 | Lost Percent :4.2
326th training :=  Win Percent :93.7 | Draw Percent :3.2 | Lost Percent :3.1
327th training :=  Win Percent :92.9 | Draw Percent :4 | Lost Percent :3.1
328th training :=  Win Percent :91.6 | Draw Percent :4.7 | Lost Percent :3.7
329th training :=  Win Percent :91.2 | Draw Percent :5.3 | Lost Percent :3.5
330th training :=  Win Percent :92.7 | Draw Percent :3.6 | Lost Percent :3.7
331th training :=  Win Percent :92.1 | Draw Percent :5 | Lost Percent :2.9
332th training :=  Win Percent :92.8 | Draw Percent :4.1 | Lost Percent :3.1
333th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
334th training :=  Win Percent :92.5 | Draw Percent :4.1 | Lost Percent :3.4
335th training :=  Win Percent :91.6 | Draw Percent :5.2 | Lost Percent :3.2
336th training :=  Win Percent :91.7 | Draw Percent :5.2 | Lost Percent :3.1
337th training :=  Win Percent :92.7 | Draw Percent :3.7 | Lost Percent :3.6
338th training :=  Win Percent :92 | Draw Percent :3.6 | Lost Percent :4.4
339th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
340th training :=  Win Percent :92.5 | Draw Percent :4.1 | Lost Percent :3.4
341th training :=  Win Percent :92.6 | Draw Percent :4.3 | Lost Percent :3.1
342th training :=  Win Percent :91.1 | Draw Percent :5.5 | Lost Percent :3.4
343th training :=  Win Percent :92.5 | Draw Percent :4.6 | Lost Percent :2.9
344th training :=  Win Percent :90.4 | Draw Percent :5.8 | Lost Percent :3.8
345th training :=  Win Percent :91.6 | Draw Percent :4.5 | Lost Percent :3.9
